priority,asset,type,screens,usage
P0,brand/tc-seal-black.png,EXTRACTED,"Home Organizer","assinatura TC principal"
P0,brand/tc-seal-pink.png,EXTRACTED,"Home Footer","selo TC rosa"
P0,brand/tc-badge-square-black.png,EXTRACTED,"Ticket","badge TC quadrado"
P0,brand/tc-culture-seal-pink.png,EXTRACTED,"Ticket Shared Ticket","selo Cultura TC"
P0,brand/ta-em-cartaz-lockup-black.png,EXTRACTED,"Global","lockup de marca"
P0,decorative/paper-texture.png,EXTRACTED,"Global","textura de papel"
P0,decorative/scribble-pink-underline-long.png,EXTRACTED,"Organizer Ticket Checkout","assinatura de título"
P0,decorative/scribble-pink-underline-short.png,EXTRACTED,"Home Sections","underline curto"
P0,decorative/scribble-pink-zigzag.png,EXTRACTED,"Home","rabisco rosa"
P0,decorative/rays-black-three.png,EXTRACTED,"Home Event Checkout","riscos de apoio"
P0,decorative/burst-asterisk-shape.svg,HELPER,"Home Event Organizer","asterisco recolorável"
P0,ticket/ticket-main-shape.svg,HELPER,"Ticket Shared Ticket","corpo recolorável do ticket"
P0,ticket/ticket-layout-reference.png,REFERENCE,"Ticket Shared Ticket","proporções/serrilha/stub"
P0,sector/sector-tab-shape.svg,HELPER,"Event","tab de setor recolorável"
P0,sector/sector-tab-texture-overlay.png,HELPER,"Event","textura de tab"
P0,sector/order-summary-bar-shape.svg,HELPER,"Event","barra de resumo"
P0,organizer/organizer-thumb-shape.svg,HELPER,"Organizer","frame recolorável de thumbnail"
P1,decorative/hero-crowd-torn.png,EXTRACTED,"Home","colagem hero"
P1,decorative/event-crowd-strip.png,EXTRACTED,"Event","faixa de público"
P1,decorative/event-torn-orange-panel.png,EXTRACTED,"Event","painel laranja hero"
P1,decorative/event-torn-pink-vertical.png,EXTRACTED,"Event","painel rosa hero"
P1,decorative/event-pink-circle.png,EXTRACTED,"Event","círculo rosa hero"
P1,decorative/sticker-viva-agora-pink-round.png,EXTRACTED,"Home Event","sticker Viva Agora"
P1,decorative/sticker-viva-agora-green-square.png,EXTRACTED,"Checkout","sticker Viva Agora"
P1,decorative/sticker-cultura-move-green.png,EXTRACTED,"Home Event Ticket","sticker cultura"
P1,decorative/sticker-show-pink.png,EXTRACTED,"Event Ticket","badge Show"
P1,categories/category-shows.png,EXTRACTED,"Home","categoria shows"
P1,categories/category-festivals.png,EXTRACTED,"Home","categoria festivals"
P1,categories/category-cultura.png,EXTRACTED,"Home","categoria cultura"
P1,categories/category-perto-de-voce.png,EXTRACTED,"Home","categoria perto de você"
P1,decorative/checkout-corner-left-collage.png,EXTRACTED,"Checkout","colagem canto esquerdo"
P1,decorative/checkout-corner-yellow-halftone.png,EXTRACTED,"Checkout","canto amarelo"
P1,gate/tc-badge-white.png,EXTRACTED,"Gate","TC em fundo escuro"
P1,gate/gate-scanner-corners.svg,HELPER,"Gate","corners do scanner"
P2,references/home-anchor.png,REFERENCE,"Home","visual diff"
P2,references/event-anchor.png,REFERENCE,"Event","visual diff"
P2,references/checkout-anchor.png,REFERENCE,"Checkout","visual diff"
P2,references/ticket-anchor.png,REFERENCE,"Ticket","visual diff"
P2,references/gate-anchor.png,REFERENCE,"Gate","visual diff"
P2,references/organizer-anchor.png,REFERENCE,"Organizer","visual diff"
